sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/,2688,56,0,1520,137.60233378393332,0.002232142857142857,56.64671668212088,279.4015449164419,5050.728422619048
/login,2683,55,0,1554,150.61065007399444,0.004099888184867686,56.611735910366505,252.90327108565612,4574.545285128587
/loginProcess,2679,509,2,2572,336.8963776241052,0.036954087346024636,56.38931570860258,252.51907451088215,4585.612168719672
/hotels/search,5155,49,0,1598,102.6252656779346,0.0015518913676042677,108.90231536251478,418.2462500462122,3932.736954413191
/hotels,2646,485,4,2190,281.9775698578391,0.02834467120181406,55.80277115802349,262.10013187517137,4809.627362055933
/hotels/2,2608,454,1,2169,229.87472035965828,0.02338957055214724,55.20160863583448,169.91300749417928,3151.917561349693
/hotels/booking,15209,87,1,1931,124.73337268358641,0.33401275560523375,323.2312498671711,1251.9413779408328,3966.1634558485107
/hotels/booking?execution=e1s1,2540,43,0,1515,88.03359133178314,0.0011811023622047244,54.28394349340685,15.55581351782394,293.4413385826772
/hotels/booking?execution=e1s2,2530,42,0,1332,92.15537566731902,3.952569169960474E-4,54.468341621994014,15.60855891676893,293.4395256916996
/hotels/booking?execution=e1s3,2521,40,0,1514,83.47689477427754,0.0015866719555731853,54.66412246845049,15.716265544364456,294.40618802062676
/hotels/booking?execution=e1s4,2509,92,1,5478,223.05089283247779,0.005579912315663611,54.94000175177367,201.6427069419506,3758.320446392985
/logout,2494,54,0,1534,131.55575015208603,0.0036086607858861267,54.695381376376154,209.8132045265143,3928.09623095429
Error: ,7,0,0,0,0.0,1.0,0.0,0.0,1079.857142857143
TOTAL,46269,138,0,5478,229.6171148947457,0.11623333117205904,977.1493738252625,3323.328333548922,3482.6693898722688
