sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/,1274,34,0,655,82.00849263665457,0.0,14.795888740491261,72.99690421578305,5052.0
/login,1274,28,0,657,70.8560649101329,0.0,14.793139884580997,66.07795100788427,4574.0
/loginProcess,1274,1384,17,6274,1022.7821252294534,0.31711145996860285,14.77632540391329,66.11704958811283,4581.9144427001565
/hotels/search,2446,58,0,3266,189.79438730288823,0.0028618152085036794,28.39728333430081,108.67331714024496,3918.736713000818
/hotels,1268,2156,4,6928,1329.0109069417508,0.6869085173501577,14.450307126007134,66.89001842257461,4740.063880126183
/hotels/2,1198,1602,139,5858,1272.3919303370783,0.4090150250417362,14.17667593633513,43.74782742145435,3159.9632721202
/hotels/booking,7092,72,0,4527,162.97308575689468,0.3347433728144388,87.34635564204251,338.7404414889031,3971.2041737168643
/hotels/booking?execution=e1s1,1178,29,0,540,61.82413833248598,0.0,14.581192984193393,4.159272147198257,292.0950764006791
/hotels/booking?execution=e1s2,1176,21,0,408,40.99708684311505,0.0,14.689717197961427,4.190230900869391,292.0952380952381
/hotels/booking?execution=e1s3,1176,24,0,384,48.49109234018976,0.0,14.689533707233595,4.190178560275803,292.0952380952381
/hotels/booking?execution=e1s4,1176,84,1,8176,409.63031452650284,0.005952380952380952,14.641434262948207,53.4676965964268,3739.450680272109
/logout,1174,46,0,6273,246.4394012668423,0.002555366269165247,14.707540433208473,56.255948219028355,3916.7725724020443
Error: ,2,0,0,0,0.0,1.0,0.0,0.0,1432.0
TOTAL,21708,340,0,8176,832.240126581771,0.19154228855721392,251.18313411938954,855.121021295691,3486.0777132854246
